"Monthly Climate Statistics for 'MELBOURNE REGIONAL OFFICE' [086071]"
"Created on [ 16 Feb 2022 14:51:20 GMT+00:00]"

"086071 MELBOURNE REGIONAL OFFICE"
"Commenced: 1908"
"Last Record: 2015"
"Latitude:   37.81 Degrees South"
"Longitude:  144.97 Degrees East"
"Elevation:      31 m"
"State: VIC"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1855 to 2015 ",26.0,25.8,23.9,20.3,16.7,14.1,13.5,15.0,17.3,19.7,22.0,24.2,19.9,160,1855,2015
"Highest temperature (Degrees C) for years 1855 to 2015 ",45.6,46.4,41.7,34.9,28.7,22.4,23.3,26.5,31.4,36.9,40.9,43.7,46.4,160,1855,2015
"Date of Highest temperature for years 1855 to 2015 ",13 Jan  1939,07 Feb  2009,11 Mar  1940,05 Apr  1938,07 May  1905,02 Jun  1957,18 Jul  2013,29 Aug  1982,28 Sep  1928,24 Oct  1914,27 Nov  1894,15 Dec  1876,07 Feb  2009,N/A,1855,2015
"Lowest maximum temperature (Degrees C) for years 1855 to 2015 ",14.6,14.7,12.0,8.9,8.3,5.3,4.4,6.7,8.3,9.0,11.0,10.4,4.4,160,1855,2015
"Date of Lowest maximum temperature for years 1855 to 2015 ",18 Jan  1923,18 Feb  1951,21 Mar  1931,15 Apr  1900,31 May  1977,23 Jun  1878,04 Jul  1901,09 Aug  1872,11 Sep  1969,29 Oct  1922,04 Nov  1913,12 Dec  1867,04 Jul  1901,N/A,1855,2015
"Decile 1 maximum temperature (Degrees C) for years 1855 to 2015 ",19.4,19.6,18.2,15.7,13.3,11.4,10.9,11.8,13.1,14.5,16.3,18.1, ,160,1855,2015
"Decile 9 maximum temperature (Degrees C) for years 1855 to 2015 ",35.6,34.7,31.7,26.3,20.9,16.9,16.2,18.5,22.2,26.4,30.1,33.1, ,160,1855,2015
"Mean number of days >= 30 Degrees C for years 1855 to 2015 ",7.8,7.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,3.1,5.8,30.0,160,1855,2015
"Mean number of days >= 35 Degrees C for years 1855 to 2015 ",3.6,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,2.0,10.0,160,1855,2015
"Mean number of days >= 40 Degrees C for years 1855 to 2015 ",0.7,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,160,1855,2015
"Mean minimum temperature (Degrees C) for years 1855 to 2015 ",14.3,14.6,13.2,10.8,8.7,6.9,6.0,6.7,8.0,9.6,11.2,13.0,10.2,160,1855,2015
"Lowest temperature (Degrees C) for years 1855 to 2015 ",5.5,4.5,2.8,1.5,-1.1,-2.2,-2.8,-2.1,-0.5,0.1,2.5,4.4,-2.8,160,1855,2015
"Date of Lowest temperature for years 1855 to 2015 ",28 Jan  1885,24 Feb  1924,17 Mar  1884,24 Apr  1888,29 May  1916,11 Jun  1866,21 Jul  1869,11 Aug  1863,03 Sep  1940,03 Oct  1918,02 Nov  1896,04 Dec  1870,21 Jul  1869,N/A,1855,2015
"Highest minimum temperature (Degrees C) for years 1855 to 2015 ",28.8,30.5,26.5,23.0,18.0,16.1,14.3,16.2,20.5,24.1,26.2,26.6,30.5,160,1855,2015
"Date of Highest minimum temperature for years 1855 to 2015 ",21 Jan  1997,01 Feb  1902,13 Mar  2013,02 Apr  2014,25 May  2009,07 Jun  2001,19 Jul  2013,20 Aug  1885,29 Sep  1999,13 Oct  1977,25 Nov  1901,12 Dec  1998,01 Feb  1902,N/A,1855,2015
"Decile 1 minimum temperature (Degrees C) for years 1855 to 2015 ",10.6,10.7,9.2,6.9,4.9,2.8,2.1,3.1,4.3,5.9,7.6,9.4, ,160,1855,2015
"Decile 9 minimum temperature (Degrees C) for years 1855 to 2015 ",18.3,18.7,17.3,14.6,12.3,10.4,9.4,10.1,11.6,13.5,15.1,16.7, ,160,1855,2015
"Mean number of days <= 2 Degrees C for years 1855 to 2015 ",0.0,0.0,0.0,0.0,0.4,1.9,3.0,1.7,0.5,0.1,0.0,0.0,7.6,160,1855,2015
"Mean number of days <= 0 Degrees C for years 1855 to 2015 ",0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.3,0.0,0.0,0.0,0.0,1.2,160,1855,2015
"Mean daily ground minimum temperature Degrees C for years 1955 to 2015 ",13.7,14.2,12.6,9.8,7.8,5.9,5.1,5.5,6.7,8.4,10.3,12.1,9.3,60,1955,2015
"Lowest ground temperature Degrees C for years 1955 to 2015 ",3.7,5.6,3.3,0.6,-1.1,-2.2,-3.4,-2.4,-1.5,0.7,1.8,4.2,-3.4,60,1955,2015
"Date of Lowest ground temperature  for years 1955 to 2015 ",27 Jan  1957,10 Feb  1980,25 Mar  1964,30 Apr  2009,20 May  1981,05 Jun  1982,20 Jul  1982,08 Aug  1963,02 Sep  1957,04 Oct  1967,08 Nov  1971,17 Dec  1964,20 Jul  1982,N/A,1955,2015
"Mean number of days ground min. temp. <= -1 Degrees C for years 1955 to 2015 ",0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.1,0.0,0.0,0.0,1.1,60,1955,2015
